"","sp.t","GrossReturn","PriceReturn","inf.crsp.t","inf.crsp","crsp.adj.GR","crsp.adj.PR"
"156",19390228,1.039292,1.034357,19390228,0.992857,0.0467690714775644,0.0417985671652614
"157",19390331,0.865179,0.861829,19390331,1,-0.134821,-0.138171
"158",19390429,0.993389,0.992158,19390429,0.992806,0.000587224493002747,-0.000652695491364819
"159",19390531,1.069557,1.06346,19390531,1,0.0695570000000001,0.0634600000000001
"160",19390630,0.93819,0.934252,19390630,1,-0.06181,-0.065748
"161",19390731,1.11131,1.110355,19390731,1,0.11131,0.110355
"162",19390831,0.932449,0.926975,19390831,1,-0.067551,-0.073025
"163",19390930,1.181167,1.177572,19390930,1.021739,0.156035934813098,0.152517423725629
"164",19391031,0.983113,0.98236,19391031,0.992908,-0.00986496231272183,-0.0106233407324747
"165",19391130,0.959468,0.948858,19391130,1,-0.040532,-0.051142
"166",19391230,1.028177,1.023143,19391230,1,0.0281769999999999,0.0231429999999999
"167",19400131,0.964073,0.9632,19400131,0.992857,-0.0289910833080695,-0.0298703640101242
"168",19400229,1.013139,1.006917,19400229,1.007194,0.00590253714775901,-0.000275021495362182
"169",19400330,1.013561,1.010518,19400330,1,0.0135609999999999,0.010518
"170",19400430,0.995522,0.993769,19400430,1,-0.00447799999999998,-0.00623099999999999
"171",19400531,0.76852,0.760235,19400531,1,-0.23148,-0.239765
"172",19400629,1.083035,1.078208,19400629,1.007143,0.0753537481767734,0.0705609828991516
"173",19400731,1.03309,1.031914,19400731,0.992908,0.0404690061919131,0.0392846064287931
"174",19400831,1.035421,1.026631,19400831,1,0.0354209999999999,0.0266310000000001
"175",19400930,1.014221,1.010096,19400930,1,0.014221,0.0100960000000001
"176",19401031,1.041468,1.04018,19401031,1,0.0414680000000001,0.0401800000000001
"177",19401130,0.970569,0.957003,19401130,1,-0.029431,-0.042997
"178",19401231,1.002927,0.99751,19401231,1.007143,-0.00418609869700726,-0.00956467949437156
"179",19410131,0.954445,0.953153,19410131,1,-0.045555,-0.046847
"180",19410228,0.995271,0.98743,19410228,1,-0.00472899999999998,-0.01257
"181",19410331,1.008872,1.004173,19410331,1.007092,0.00176746513724657,-0.00289844423349617
"182",19410430,0.937848,0.936537,19410430,1.007042,-0.0687101431717843,-0.0700119756673505
"183",19410531,1.013184,1.00214,19410531,1.006993,0.00614800698713891,-0.00481929864457842
"184",19410630,1.058851,1.052486,19410630,1.020833,0.0372421346096765,0.0310070305329078
"185",19410731,1.057106,1.055619,19410731,1,0.0571060000000001,0.0556190000000001
"186",19410830,0.998887,0.990264,19410830,1.013605,-0.0145204492874444,-0.0230277080322216
"187",19410930,0.992649,0.988501,19410930,1.013423,-0.0204988440167629,-0.0245919028875405
"188",19411031,0.935398,0.934045,19411031,1.013245,-0.0768293946676273,-0.0781647084367552
"189",19411129,0.975084,0.957893,19411129,1.006536,-0.0312477646105058,-0.048327133853136
"190",19411231,0.961157,0.953795,19411231,1.006494,-0.0450444811394802,-0.0523589807788224
"191",19420131,1.022276,1.020639,19420131,1.012903,0.00925360078901916,0.00763745393191639
"192",19420228,0.982353,0.975358,19420228,1.006369,-0.0238640101195486,-0.0308147409151118
"193",19420331,0.935932,0.930324,19420331,1.012658,-0.0757669420475621,-0.0813048432935898
"194",19420430,0.962012,0.959677,19420430,1.00625,-0.0439632298136647,-0.0462837267080746
"195",19420529,1.070339,1.060119,19420529,1.012422,0.0572063823188353,0.0471117774998964
"196",19420630,1.023544,1.016976,19420630,1,0.023544,0.0169760000000001
"197",19420731,1.036031,1.034314,19420731,1.006135,0.0297137064111674,0.028007175975391
"198",19420831,1.015346,1.007531,19420831,1.006098,0.00919194750412,0.00142431452999614
"199",19420930,1.032449,1.027671,19420930,1,0.032449,0.027671
"200",19421031,1.067867,1.066333,19421031,1.012121,0.0550783947769089,0.0535627657167472
"201",19421130,0.995608,0.983063,19421130,1.005988,-0.0103182145313861,-0.0227885422092511
"202",19421231,1.057537,1.050449,19421231,1.005952,0.0512797827331721,0.0442337208932435
"203",19430130,1.072434,1.071062,19430130,1,0.0724339999999999,0.071062
"204",19430227,1.058503,1.052676,19430227,1,0.058503,0.0526759999999999
"205",19430331,1.059404,1.055182,19430331,1.017751,0.0409265134595789,0.0367781510408733
"206",19430430,1.003588,1.002332,19430430,1.011628,-0.0079475854760841,-0.00918914858030817
"207",19430529,1.052698,1.045651,19430529,1.005747,0.0466827144401127,0.0396759821306949
"208",19430630,1.021689,1.017142,19430630,1,0.0216890000000001,0.017142
"209",19430731,0.946908,0.945762,19430731,0.994286,-0.0476502736637145,-0.0488028595394082
"210",19430831,1.016232,1.010751,19430831,0.994253,0.0221060434316014,0.0165933620517111
"211",19430930,1.027498,1.023331,19430930,1.00578,0.0215931913539742,0.0174501382011971
"212",19431030,0.98835,0.9875,19431030,1,-0.01165,-0.0125
"213",19431130,0.932948,0.922034,19431130,1,-0.067052,-0.077966
"214",19431231,1.070305,1.065211,19431231,1,0.0703050000000001,0.0652109999999999
"215",19440131,1.018622,1.01731,19440131,1,0.0186219999999999,0.0173099999999999
"216",19440229,1.006479,1.000238,19440229,1,0.0064789999999999,0.00023799999999996
"217",19440331,1.021313,1.017309,19440331,1,0.0213129999999999,0.017309
"218",19440429,0.987573,0.986567,19440429,1.005747,-0.0180701508431046,-0.019070402397422
"219",19440531,1.048841,1.040864,19440531,1,0.0488409999999999,0.040864
"220",19440630,1.054574,1.049768,19440630,1.005714,0.0485824001654545,0.0438037056260527
"221",19440731,0.98053,0.979371,19440731,1.005682,-0.025009893783522,-0.0261623455525702
"222",19440831,1.0147,1.008208,19440831,1,0.0146999999999999,0.00820799999999999
"223",19440930,0.999308,0.996882,19440930,1,-0.000692000000000026,-0.00311799999999995
"224",19441031,1.002435,1.001045,19441031,1,0.00243499999999996,0.00104499999999996
"225",19441130,1.017327,1.005832,19441130,1,0.0173270000000001,0.00583200000000006
"226",19441230,1.044778,1.041034,19441230,1.00565,0.03890816884602,0.035185203599662
"227",19450131,1.011901,1.010784,19450131,1,0.0119009999999999,0.0107839999999999
"228",19450228,1.069472,1.063578,19450228,1,0.069472,0.0635779999999999
"229",19450331,0.958315,0.95501,19450331,1,-0.041685,-0.04499
"230",19450430,1.090524,1.089465,19450430,1,0.090524,0.0894649999999999
"231",19450531,1.020041,1.011624,19450531,1.005618,0.0143424242605046,0.00597244679391196
"232",19450630,1.00238,1.000134,19450630,1.011173,-0.00869584136443524,-0.0109170240898442
"233",19450731,0.978461,0.977521,19450731,1,-0.021539,-0.022479
"234",19450831,1.059852,1.054027,19450831,1,0.059852,0.054027
"235",19450929,1.046361,1.043999,19450929,1,0.0463610000000001,0.0439989999999999
"236",19451031,1.030815,1.029862,19451031,1,0.030815,0.0298620000000001
"237",19451130,1.04495,1.035612,19451130,1,0.04495,0.035612
"238",19451231,1.011133,1.008805,19451231,1.005525,0.0055771860470899,0.00326197757390423
"239",19460131,1.069504,1.068515,19460131,1,0.069504,0.0685150000000001
"240",19460228,0.934829,0.930215,19460228,0.994505,-0.0600057314945626,-0.0646452255142005
"241",19460330,1.049118,1.046147,19460330,1.01105,0.0376519459967362,0.0347134167449681
"242",19460430,1.035748,1.034707,19460430,1.005464,0.0301194274484218,0.0290840845619535
"243",19460531,1.028785,1.023202,19460531,1.005435,0.0232237787624261,0.0176709583414143
"244",19460628,0.964711,0.962479,19460628,1.010811,-0.0456069433355988,-0.0478150712645588
"245",19460731,0.97265,0.971571,19460731,1.058824,-0.0813865193837692,-0.0824055744864114
"246",19460830,0.931145,0.926635,19460830,1.020202,-0.0872934967780891,-0.0917141899349345
"247",19460930,0.895887,0.893381,19460930,1.009901,-0.112896214579449,-0.11537764592767
"248",19461031,0.994364,0.993183,19461031,1.019608,-0.0247585346525332,-0.0259168229358734
