"Year","Month","GrossReturn","PriceReturn","CPI_Rate","CPI_adjusted_GR","CPI_adjusted_PR","CPIC_Rate","CPIC_adjusted_GR","CPIC_adjusted_PR","PPI_Rate","PPI_adjusted_GR","PPI_adjusted_PR","PCE_Rate","PCE_adjusted_GR","PCE_adjusted_PR"
1959,8,-0.011076,-0.015179,0,-0.011076,-0.0151790000000001,0,-0.011076,-0.0151790000000001,-0.00315457413249205,-0.00794649367088607,-0.0120624778481013,0.0075519194461925,-0.0184882973141787,-0.0225605440349782
1959,9,-0.043182,-0.045586,0.00342465753424662,-0.0464475904436862,-0.0488433856655291,0.00331125827814574,-0.0463398151815183,-0.048735881188119,0.00316455696202525,-0.0462003533123029,-0.0485967697160884,0.0124921923797626,-0.0549872806909316,-0.057361619987662
1959,10,0.012574,0.011436,0.00341296928327638,0.00912987074829963,0.00799574149659876,0.00660066006600658,0.00593417049180323,0.00480363278688523,-0.00315457413249205,0.0157783481012659,0.0146367468354429,-0.00431832202344225,0.0169655848822801,0.0158226493184634
1959,11,0.018486,0.013114,0,0.018486,0.0131140000000001,0,0.018486,0.0131140000000001,-0.00316455696202536,0.0217192888888889,0.0163302349206349,0.000309789343246487,0.0181705816042119,0.0128002452771758
1959,12,0.029627,0.026911,0,0.0296270000000001,0.0269109999999999,0,0.0296270000000001,0.0269109999999999,0,0.0296270000000001,0.0269109999999999,0,0.0296270000000001,0.0269109999999999
1960,1,-0.069933,-0.070835,-0.00340136054421761,-0.066758709897611,-0.0676637883959045,0,-0.069933,-0.070835,0.00317460317460322,-0.07287625,-0.0737753955696202,0.00216785382471367,-0.0719448878244747,-0.0728449366501854
1960,2,0.013922,0.009129,0.00341296928327638,0.010473285714286,0.00569658843537435,0.00327868852459021,0.0106085294117648,0.00583119281045752,0,0.013922,0.00912899999999994,0.0052533992583436,0.00862329910851511,0.00385534706424839
1960,3,-0.012566,-0.015238,0,-0.012566,-0.015238,0,-0.012566,-0.015238,0.00632911392405061,-0.0187762767295597,-0.0214314716981132,0.0150630187519212,-0.0272190181708054,-0.0298513670502724
1960,4,-0.016113,-0.017097,0.00340136054421774,-0.0194482101694917,-0.0204288745762713,0,-0.016113,-0.017097,0,-0.016113,-0.017097,0.0190793458509994,-0.0345334698365528,-0.0354990472511145
1960,5,0.033513,0.028312,0,0.0335129999999999,0.0283119999999999,0,0.0335129999999999,0.0283119999999999,-0.00314465408805036,0.0367732933753941,0.0315558864353311,-0.0193164933135215,0.0538700742424243,0.0485666303030303
1960,6,0.021802,0.019133,0.00338983050847462,0.0183499662162163,0.0156899831081083,0,0.0218020000000001,0.0191330000000001,0,0.0218020000000001,0.0191330000000001,0.000303030303030372,0.0214924568312631,0.0188242653741288
1960,7,-0.022948,-0.023813,0,-0.022948,-0.023813,0,-0.022948,-0.023813,0,-0.022948,-0.023813,0.00393820054528917,-0.0267807326493662,-0.0276423394689197
1960,8,0.031467,0.026197,0,0.0314669999999999,0.026197,0,0.0314669999999999,0.026197,-0.00315457413249205,0.0347311360759492,0.0294444588607594,0.000603500301750288,0.0308448848009646,0.0255780633293121
1960,9,-0.058713,-0.06092,0,-0.058713,-0.06092,0,-0.058713,-0.06092,0,-0.058713,-0.06092,0.00542822677925197,-0.0637949334133173,-0.0659900179964006
1960,10,-0.001079,-0.002407,0.00675675675675673,-0.00778316778523502,-0.00910225503355711,0.00653594771241828,-0.0075655,-0.00888487662337667,0.00316455696202525,-0.00423017034700324,-0.00555398107255523,0.00599880023995201,-0.00703559511031615,-0.00835567620751343
1960,11,0.046081,0.039977,0,0.046081,0.0399769999999999,0,0.046081,0.0399769999999999,0,0.046081,0.0399769999999999,0,0.046081,0.0399769999999999
1960,12,0.048839,0.046597,0,0.0488390000000001,0.046597,0,0.0488390000000001,0.046597,0,0.0488390000000001,0.046597,-0.0122242098986284,0.0618188970721401,0.0595491512224569
1961,1,0.06432,0.063181,0,0.0643199999999999,0.0631809999999999,0,0.0643199999999999,0.0631809999999999,0.00315457413249216,0.0609730817610064,0.0598376635220126,0.00271657108360995,0.0614365322095125,0.0603006180012042
