Series ID,Year,Period,Label,Value
CUUR0000SA0L1E,1976,M04,1976 Apr,56.7
CUUR0000SA0L1E,1976,M05,1976 May,57.0
CUUR0000SA0L1E,1976,M06,1976 Jun,57.2
CUUR0000SA0L1E,1976,M07,1976 Jul,57.6
CUUR0000SA0L1E,1976,M08,1976 Aug,57.9
CUUR0000SA0L1E,1976,M09,1976 Sep,58.3
CUUR0000SA0L1E,1976,M10,1976 Oct,58.6
CUUR0000SA0L1E,1976,M11,1976 Nov,58.9
CUUR0000SA0L1E,1976,M12,1976 Dec,58.9
CUUR0000SA0L1E,1977,M01,1977 Jan,59.2
CUUR0000SA0L1E,1977,M02,1977 Feb,59.5
CUUR0000SA0L1E,1977,M03,1977 Mar,59.9
CUUR0000SA0L1E,1977,M04,1977 Apr,60.3
CUUR0000SA0L1E,1977,M05,1977 May,60.6
CUUR0000SA0L1E,1977,M06,1977 Jun,61.0
CUUR0000SA0L1E,1977,M07,1977 Jul,61.2
CUUR0000SA0L1E,1977,M08,1977 Aug,61.5
CUUR0000SA0L1E,1977,M09,1977 Sep,61.9
CUUR0000SA0L1E,1977,M10,1977 Oct,62.1
CUUR0000SA0L1E,1977,M11,1977 Nov,62.4
CUUR0000SA0L1E,1977,M12,1977 Dec,62.7
CUUR0000SA0L1E,1978,M01,1978 Jan,63.0
CUUR0000SA0L1E,1978,M02,1978 Feb,63.2
CUUR0000SA0L1E,1978,M03,1978 Mar,63.7
CUUR0000SA0L1E,1978,M04,1978 Apr,64.2
CUUR0000SA0L1E,1978,M05,1978 May,64.7
CUUR0000SA0L1E,1978,M06,1978 Jun,65.3
CUUR0000SA0L1E,1978,M07,1978 Jul,65.7
CUUR0000SA0L1E,1978,M08,1978 Aug,66.1
CUUR0000SA0L1E,1978,M09,1978 Sep,66.8
CUUR0000SA0L1E,1978,M10,1978 Oct,67.3
CUUR0000SA0L1E,1978,M11,1978 Nov,67.8
CUUR0000SA0L1E,1978,M12,1978 Dec,68.0
CUUR0000SA0L1E,1979,M01,1979 Jan,68.4
CUUR0000SA0L1E,1979,M02,1979 Feb,69.0
CUUR0000SA0L1E,1979,M03,1979 Mar,69.6
CUUR0000SA0L1E,1979,M04,1979 Apr,70.2
CUUR0000SA0L1E,1979,M05,1979 May,70.8
CUUR0000SA0L1E,1979,M06,1979 Jun,71.4
CUUR0000SA0L1E,1979,M07,1979 Jul,72.0
CUUR0000SA0L1E,1979,M08,1979 Aug,72.7
CUUR0000SA0L1E,1979,M09,1979 Sep,73.4
CUUR0000SA0L1E,1979,M10,1979 Oct,74.1
CUUR0000SA0L1E,1979,M11,1979 Nov,75.0
CUUR0000SA0L1E,1979,M12,1979 Dec,75.7
CUUR0000SA0L1E,1980,M01,1980 Jan,76.6
CUUR0000SA0L1E,1980,M02,1980 Feb,77.3
CUUR0000SA0L1E,1980,M03,1980 Mar,78.3
CUUR0000SA0L1E,1980,M04,1980 Apr,79.3
CUUR0000SA0L1E,1980,M05,1980 May,80.2
CUUR0000SA0L1E,1980,M06,1980 Jun,81.1
CUUR0000SA0L1E,1980,M07,1980 Jul,80.9
CUUR0000SA0L1E,1980,M08,1980 Aug,81.3
CUUR0000SA0L1E,1980,M09,1980 Sep,82.2
CUUR0000SA0L1E,1980,M10,1980 Oct,83.2
CUUR0000SA0L1E,1980,M11,1980 Nov,84.1
