"Year","Month","CPI_Rate","CPIC_Rate","PPI_Rate","PCE_Rate"
1921,10,0,NA,0.00621118012422347,NA
1921,11,-0.0057142857142858,NA,0,NA
1921,12,-0.00574712643678149,NA,-0.0123456790123456,NA
1922,1,-0.0231213872832371,NA,-0.01875,NA
1922,2,0,NA,0.0191082802547771,NA
1922,3,-0.0118343195266272,NA,0,NA
1922,4,0,NA,0.00625000000000009,NA
1922,5,0,NA,0.031055900621118,NA
1922,6,0,NA,0,NA
1922,7,0.00598802395209589,NA,0.0301204819277108,NA
1922,8,-0.0119047619047619,NA,-0.00584795321637435,NA
1922,9,0,NA,0.00588235294117655,NA
1922,10,0.00602409638554204,NA,0.00584795321637414,NA
1922,11,0.00598802395209589,NA,0.00581395348837218,NA
1922,12,0.00595238095238083,NA,0,NA
1923,1,-0.00591715976331348,NA,0.0173410404624278,NA
