"Time","Year","Month","CPI_adjusted_Price","CPI_adjusted_Return"
Nov 1897,1897,11,179.010376357558,-0.0352697095435684
Dec 1897,1897,12,182.860061870624,0.021505376344086
Jan 1898,1898,1,187.864653037609,0.0273684210526313
Feb 1898,1898,2,184.839030571969,-0.0161053312409701
Mar 1898,1898,3,176.489012763789,-0.0451745379876796
Apr 1898,1898,4,173.452642651724,-0.0172043010752688
May 1898,1898,5,172.678546222073,-0.00446286904492881
Jun 1898,1898,6,192.050409588124,0.112184540522698
Jul 1898,1898,7,195.564024063741,0.0182952719713159
Aug 1898,1898,8,202.878426538566,0.0374015748031495
Sep 1898,1898,9,202.493457987259,-0.00189753320683109
Oct 1898,1898,10,198.258803922887,-0.0209125475285169
Nov 1898,1898,11,204.803269295099,0.0330097087378642
Dec 1898,1898,12,214.443639164604,0.0470713670865034
Jan 1899,1899,1,230.764128516955,0.0761061946902655
Feb 1899,1899,2,232.932263628719,0.00939545988234062
Mar 1899,1899,3,236.254593854802,0.0142630744849446
Apr 1899,1899,4,235.975394927465,-0.00118177142201552
May 1899,1899,5,226.143086805487,-0.0416666666666667
Jun 1899,1899,6,218.097481212256,-0.0355774996568935
Jul 1899,1899,7,222.673772130312,0.0209827774838065
Aug 1899,1899,8,225.381588213334,0.012160462622593
Sep 1899,1899,9,214.571781032896,-0.0479622460118871
Oct 1899,1899,10,210.924807837573,-0.0169965182642719
Nov 1899,1899,11,212.296040345985,0.00650104898740718
Dec 1899,1899,12,195.452593307651,-0.0793394309704687
Jan 1900,1900,1,198.049969962902,0.0132890365448505
Feb 1900,1900,2,199.221225291183,0.00591393842927752
Mar 1900,1900,3,200.825260921546,0.00805152979066012
Apr 1900,1900,4,203.391717930128,0.0127795527156548
May 1900,1900,5,198.493511407082,-0.0240826252558103
Jun 1900,1900,6,194.955737212647,-0.0178231226268133
Jul 1900,1900,7,192.578141861838,-0.0121955649256716
Aug 1900,1900,8,197.617248983468,0.0261665580159422
Sep 1900,1900,9,190.606352013423,-0.0354771509375244
Oct 1900,1900,10,199.946071782936,0.0490000447039434
Nov 1900,1900,11,215.58245343651,0.0782029950083196
Dec 1900,1900,12,231.414150030769,0.0734368513851293
Jan 1901,1901,1,235.211102746316,0.0164076082428076
Feb 1901,1901,2,244.214350469152,0.0382773075663282
Mar 1901,1901,3,252.972382348046,0.0358620689655172
Apr 1901,1901,4,277.664701624717,0.0976087549458249
May 1901,1901,5,263.679133115364,-0.0503685503685505
Jun 1901,1901,6,289.944712998784,0.0996119016817593
Jul 1901,1901,7,267.119972306258,-0.0787210101417535
Aug 1901,1901,8,267.481932967522,0.00135504903709848
Sep 1901,1901,9,262.905313121962,-0.0171100148514146
Oct 1901,1901,10,259.94762834934,-0.0112499999999998
Nov 1901,1901,11,262.335042180368,0.0091842108588867
Dec 1901,1901,12,255.041665227843,-0.0278017640796582
Jan 1902,1902,1,263.633730507994,0.0336888691205634
Feb 1902,1902,2,265.906435081339,0.00862068965517255
Mar 1902,1902,3,266.231107163245,0.00122100122100097
Apr 1902,1902,4,272.044442909699,0.0218356743071694
May 1902,1902,5,268.20973908501,-0.0140958726584285
Jun 1902,1902,6,263.524700577813,-0.0174678165050235
Jul 1902,1902,7,269.478290721664,0.0225921521997619
Aug 1902,1902,8,279.939952260123,0.0388219084752353
Sep 1902,1902,9,277.311961963573,-0.00938769287960913
Oct 1902,1902,10,251.023805763107,-0.0947963297880334
Nov 1902,1902,11,249.495145561877,-0.00608970211643126
Dec 1902,1902,12,241.033413060491,-0.0339154194055733
Jan 1903,1903,1,250.525453643183,0.0393806006485469
Feb 1903,1903,2,249.044806754039,-0.00591016548463359
Mar 1903,1903,3,247.428898067927,-0.00648842554548017
Apr 1903,1903,4,237.323509904261,-0.0408415841584158
May 1903,1903,5,238.143605754029,0.00345560307151198
Jun 1903,1903,6,224.983038067622,-0.0552631578947368
Jul 1903,1903,7,214.642592028302,-0.0459610027855154
Aug 1903,1903,8,207.748961335422,-0.0321167883211678
Sep 1903,1903,9,200.404640849546,-0.0353518999020112
Oct 1903,1903,10,196.155127897397,-0.0212046633956884
Nov 1903,1903,11,199.0965911884,0.0149955972221209
Dec 1903,1903,12,208.290542055381,0.0461783439490447
Jan 1904,1904,1,206.909273705559,-0.00663145016663544
Feb 1904,1904,2,196.810491037889,-0.0488077817238936
Mar 1904,1904,3,198.433076668337,0.00824440618938572
Apr 1904,1904,4,205.670296018699,0.0364718396341662
May 1904,1904,5,206.071312535765,0.00194980279033077
Jun 1904,1904,6,206.388345324281,0.00153846153846145
Jul 1904,1904,7,214.948230614228,0.0414746543778803
Aug 1904,1904,8,219.656141623124,0.0219025343704498
Sep 1904,1904,9,226.732916695313,0.0322175151575373
Oct 1904,1904,10,240.051926829054,0.0587431693989072
Nov 1904,1904,11,247.375647966084,0.0305089037766642
Dec 1904,1904,12,249.797930932705,0.00979192166462694
Jan 1905,1905,1,255.2480676076,0.0218181818181816
Feb 1905,1905,2,266.451126328218,0.0438908659549231
Mar 1905,1905,3,277.132614791428,0.0400879839031041
Apr 1905,1905,4,273.764152070206,-0.0121546961325968
May 1905,1905,5,263.282758457672,-0.0382862165600339
Jun 1905,1905,6,266.380202674821,0.0117647058823529
Jul 1905,1905,7,274.743302061124,0.0313953488372092
Aug 1905,1905,8,281.725973047639,0.0254152546545511
Sep 1905,1905,9,285.89410124286,0.0147949731085539
Oct 1905,1905,10,289.920778725154,0.0140845070422535
Nov 1905,1905,11,285.094435768861,-0.0166471095225237
Dec 1905,1905,12,288.857243769455,0.0131984617323233
Jan 1906,1906,1,298.849161006763,0.0345911949685533
Feb 1906,1906,2,296.72966341097,-0.00709219858156016
Mar 1906,1906,3,289.46281451111,-0.0244897959183674
Apr 1906,1906,4,285.526604690352,-0.0135983263598326
May 1906,1906,5,274.867917005629,-0.037329928313624
Jun 1906,1906,6,278.460961672369,0.0130718954248368
Jul 1906,1906,7,280.628446073707,0.00778379988462482
Aug 1906,1906,8,294.610165815178,0.0498228883674839
Sep 1906,1906,9,300.318650061706,0.0193763994216988
Oct 1906,1906,10,285.001357068265,-0.051003469116197
Nov 1906,1906,11,287.734037318174,0.00958830609797584
Dec 1906,1906,12,282.092286995806,-0.0196075180223793
Jan 1907,1907,1,277.012829482553,-0.0180063679420247
Feb 1907,1907,2,262.669952885963,-0.0517769398023257
Mar 1907,1907,3,239.377093131604,-0.0886772906396005
Apr 1907,1907,4,240.523809745408,0.0047904191616767
May 1907,1907,5,227.3714169548,-0.0546822903085133
Jun 1907,1907,6,217.805734048261,-0.0420707362194101
Jul 1907,1907,7,226.140137136843,0.0382653061224491
Aug 1907,1907,8,209.193517523394,-0.0749385749385751
Sep 1907,1907,9,206.971010033105,-0.0106241699867197
Oct 1907,1907,10,182.585401522841,-0.11782137269545
Nov 1907,1907,11,179.174470906889,-0.0186812887969309
Dec 1907,1907,12,192.441820754214,0.0740470993449706
Jan 1908,1908,1,202.848623812743,0.0540776584722716
Feb 1908,1908,2,197.617456670713,-0.0257885266545276
Mar 1908,1908,3,205.701807170879,0.0409090909090911
Apr 1908,1908,4,214.397669548067,0.0422741175529094
May 1908,1908,5,225.946715283391,0.0538674033149171
Jun 1908,1908,6,226.24284466122,0.001310615989515
Jul 1908,1908,7,231.984660635217,0.02537899478145
Aug 1908,1908,8,241.943598086729,0.0429292929292929
Sep 1908,1908,9,239.307408761329,-0.0108958837772399
Oct 1908,1908,10,239.633483244844,0.00136257579823086
Nov 1908,1908,11,253.137692497253,0.0563535991279275
Dec 1908,1908,12,256.145753192251,0.0118831007161464
Jan 1909,1909,1,259.731313026627,0.0139981232938288
Feb 1909,1909,2,249.621553498539,-0.0389239149114499
Mar 1909,1909,3,253.025483773519,0.0136363636363635
Apr 1909,1909,4,258.922122618596,0.0233045255250064
May 1909,1909,5,264.803827810988,0.0227161168497589
Jun 1909,1909,6,266.755887731381,0.00737172093216967
Jul 1909,1909,7,270.566686127543,0.0142857142857142
Aug 1909,1909,8,274.327922445733,0.0139013282530173
Sep 1909,1909,9,271.880355144217,-0.0089220494935243
Oct 1909,1909,10,267.646550510204,-0.0155723080167632
Nov 1909,1909,11,263.776934873594,-0.0144579320347438
Dec 1909,1909,12,264.344000342814,0.00214979171507823
Jan 1910,1910,1,261.185805847331,-0.0119472902406994
Feb 1910,1910,2,251.857741352783,-0.0357142857142858
Mar 1910,1910,3,253.208139713138,0.00536175045921344
Apr 1910,1910,4,244.796852279982,-0.0332188666710541
May 1910,1910,5,245.352295463816,0.00226899642973657
Jun 1910,1910,6,235.792741389951,-0.0389625622038417
Jul 1910,1910,7,223.873547869141,-0.0505494505494505
Aug 1910,1910,8,231.541737244898,0.0342523243533869
Sep 1910,1910,9,235.39739552809,0.0166521091578129
Oct 1910,1910,10,253.690293230252,0.0777107055969078
Nov 1910,1910,11,258.64430918231,0.0195278104218279
Dec 1910,1910,12,251.421159838873,-0.0279269602577873
Jan 1911,1911,1,257.533055437166,0.024309392265193
Feb 1911,1911,2,270.338441704314,0.0497232723986101
Mar 1911,1911,3,264.371918023453,-0.0220705706641147
Apr 1911,1911,4,271.820410441264,0.0281742950367027
May 1911,1911,5,277.678608942154,0.0215517241379311
Jun 1911,1911,6,283.243897517999,0.0200421940928269
Jul 1911,1911,7,279.041166100103,-0.0148378533649742
Aug 1911,1911,8,257.406900429076,-0.0775307313017234
Sep 1911,1911,9,240.864249260003,-0.0642665411902237
Oct 1911,1911,10,242.253316441433,0.00576701268742796
Nov 1911,1911,11,254.59984589877,0.0509653681472775
Dec 1911,1911,12,258.415040042238,0.0149850606939668
Jan 1912,1912,1,256.003373163923,-0.00933253295907388
Feb 1912,1912,2,251.143346402587,-0.0189842293922598
Mar 1912,1912,3,253.145893459371,0.00797372132477114
Apr 1912,1912,4,253.362628856833,0.000856167937387538
May 1912,1912,5,253.098434249057,-0.00104275286757039
Jun 1912,1912,6,255.604887368165,0.00990307635266168
Jul 1912,1912,7,255.871698315313,0.00104384133611681
